I want to book a train,B
I want to book a train from Norwich to London,B
My train was delayed,D
I want to go to Norwich,B
I am travelling from London,B
I need some contingencies,C
I need to know how long my train will be delayed,D
I want to go to Norwich on the 16th,B
I want to get a single ticket from Norwich to London Liverpool street on the 24/01/2020,B
My train was delayed from Norwich to Colchester,D
My train was delayed from Ipswich to London,D
My train was delayed from London to Norwich,D
What should I do? A track was blocked,C
I need the schedule between Norwich to Colchester,C
I need the schedule between Norwich to Diss,C
I want to get 2 return tickets from Norwich to London Liverpool street on the 24/01/2020 at 13:00 and coming back at 25/01/2020 at 18:00,B
How is the weather in Norwich,W
